hv010,hv011,hv012,hv014,hv216,hv270,hv243a,hv244,hv245,hv209,hv208,hv243b,hv206,hv207
0,1,6,1,3,4,yes,no,,yes,yes,yes,yes,yes
0,0,2,0,1,4,yes,no,,no,no,yes,yes,yes
0,0,1,0,1,3,yes,yes,25.0,no,no,no,yes,yes
1,3,6,1,4,4,yes,no,,yes,no,yes,yes,yes
2,0,6,0,3,3,yes,no,,no,no,no,yes,no
0,0,4,0,3,4,yes,no,,no,no,yes,yes,yes
1,0,4,1,1,4,yes,no,,yes,yes,no,yes,yes
1,0,2,0,1,3,yes,no,,no,no,yes,no,yes
0,0,1,0,1,4,yes,no,,no,yes,yes,yes,yes
2,0,6,2,2,4,yes,yes,16.0,no,yes,yes,yes,yes
1,1,6,0,1,3,yes,no,,no,no,yes,no,yes
3,0,7,0,1,4,yes,no,,yes,yes,yes,yes,yes
1,0,3,0,3,1,no,yes,20.0,no,no,no,no,no
1,1,6,2,2,1,no,yes,95 or more,no,no,no,no,no
1,1,4,1,4,1,yes,yes,60.0,no,no,yes,no,yes
1,0,4,1,4,1,yes,yes,95 or more,no,no,no,no,no
0,0,1,0,1,0,no,yes,95 or more,no,no,no,no,no
1,1,7,2,1,1,yes,yes,30.0,no,no,yes,no,no
1,0,5,2,2,0,no,yes,40.0,no,no,no,no,no
1,0,6,2,3,0,no,yes,95 or more,no,no,no,no,no
1,0,7,1,3,2,yes,yes,95 or more,no,no,no,no,yes
1,0,3,1,1,0,no,yes,95 or more,no,no,no,no,no
1,1,2,0,1,0,no,no,,no,no,no,no,no
0,2,5,0,3,1,yes,yes,95 or more,no,no,yes,no,no
1,0,5,2,3,1,no,yes,30.0,no,no,yes,no,no
0,2,4,0,2,0,no,yes,20.0,no,no,no,no,no
2,0,7,2,2,0,no,yes,95 or more,no,no,no,no,no
0,0,4,1,2,0,no,yes,95 or more,no,no,no,no,no
3,0,7,0,4,0,yes,yes,unknown,no,no,no,no,no
2,0,3,0,3,0,no,yes,10.0,no,no,no,no,no
1,1,4,0,2,0,no,yes,95 or more,no,no,no,no,no
0,0,2,0,4,1,yes,yes,10.0,no,no,no,no,no
1,0,3,0,1,0,no,no,,no,no,no,no,no
2,4,10,2,4,0,no,yes,95 or more,no,no,no,no,no
